t [s],Q [rad],W [rad/s],A [rad/s^2],P_dot [m/s],P_ddot [m/s^2]
-9.0951551845464e-15,"-0.12246753663758078,1.7936538311539723","-0.019958046158322022,-0.018582870450586122","-0.4943223189556646,-0.4607887323851622","0.011534973446494552,0.012899688106135803","0.3432528337865066,-0.25658852769357243"
0.00999999999998181,"-0.12306051525350871,1.7931004779882387","-0.029648930796395946,-0.027667658286681742","-0.48454423190369617,-0.45423939180478107","0.017191755645470538,0.019149197052436142","0.3365738074167442,-0.2524394849461128"
0.019999999999972713,"-0.12384320627652369,1.792367663690717","-0.03913455115074906,-0.03664071487607613","-0.47428101771765585,-0.4486528294697194","0.022794841986015224,0.02525134719958872","0.32980671806670203,-0.2483204277861589"
0.02999999999996362,"-0.12481132349503797,1.7914572585535156","-0.04840586092571454,-0.0455202568600804","-0.46356548874827397,-0.44397709920021333","0.028358134292135462,0.03119644797051658","0.32296194919165694,-0.24423194797386819"
0.03999999999995452,"-0.1259604119827726,1.7903707885369868","-0.05745442438673186,-0.054323500826432246","-0.45242817305086563,-0.4401621983175924","0.03389459341857372,0.03697525136788102","0.3160498584348406,-0.24017441727004174"
0.04999999999994543,"-0.12728585946790388,1.7891094545086699","-0.0662723742565639,-0.06306670141584358","-0.4408974934916025,-0.43716002947056665","0.039416242932447575,0.04257888913136577","0.3090807498128379,-0.2361480187405138"
0.05999999999993633,"-0.12878290692877475,1.7876741507344174","-0.07485237304354343,-0.07176518871263288","-0.42899993934897634,-0.4349243648394646","0.04493417411743475,0.0479988171065587","0.30206485064666955,-0.23215277744520693"
0.06999999999992725,"-0.13044665848164466,1.7860654826351956","-0.08318757764349481,-0.0804334049610859","-0.4167602299975687,-0.4334108124226514","0.0504585519459641,0.053226766423081634","0.2950122924448835,-0.22818859027838848"
0.07999999999991815,"-0.13227209062265424,1.7842837838222654","-0.09127160705047904,-0.08908494064650976","-0.404201470349212,-0.4325767842711929","0.055998621734254565,0.05825470109678415","0.28793309505795117,-0.22425525476289346"
0.08999999999990906,"-0.13425406088278694,1.7823291324227246","-0.09909851300663464,-0.09773256997704316","-0.3913452978077797,-0.4323814665266699","0.061562716256289854,0.06307478168854914","0.2808371534728589,-0.22035249663909529"
0.09999999999989996,"-0.1363873159511446,1.7802013667067005","-0.10666275341788335,-0.10638828580120711","-0.3782120205624357,-0.43278579120819755","0.06715826314744994,0.06767933467002246","0.27373422670877867,-0.216479996116513"
0.10999999999989087,"-0.13866649931834388,1.777900100026801","-0.11395916835996436,-0.11506333399496477","-0.36482074710405027,-0.433752409687883","0.07279179247641876,0.07206082716385089","0.266633928328871,-0.2126374126816186"
0.11999999999988177,"-0.141086158488304,1.7754247350797663","-0.12098295849800515,-0.12376824735173676","-0.3511895069020398,-0.4352456678385996","0.07846894440616764,0.07621184674247818","0.2595457181580981,-0.20882440837559935"
