t [s],Q [rad],W [rad/s],A [rad/s^2],P_dot [m/s],P_ddot [m/s^2]
-2.1337098754514727e-16,"-0.1635063064333316,1.1441475007355035","-0.030232885523776145,0.06202426411015498","-0.748872160176959,1.5361564130596337","0.004860987164719249,0.016619703126870902","-0.3349847844593692,-0.2684246863431737"
0.009999999999999573,"-0.16440471024866485,1.1459901721724566","-0.04492019076666131,0.09213357184765386","-0.7343652621442583,1.5054653868749444","0.007180413366824384,0.024737658682459335","-0.32897921739814795,-0.2640275214682268"
0.01999999999999936,"-0.16559083737271407,1.1484220979761905","-0.05930635620246106,0.12159629018669477","-0.7193082717899874,1.4731359169520453","0.009408064302846712,0.03273552482956609","-0.3227917803412685,-0.2597403385142573"
0.029999999999999145,"-0.1670584693975013,1.151429755541856","-0.07338160123936227,0.1503828782832661","-0.7037622518450608,1.4393294048285665","0.011531752253597743,0.040618576315307714","-0.3164380214554012,-0.25555939100034264"
0.03999999999999893,"-0.1688012180012304,1.154999098706853","-0.08713743018645502,0.17846715824985554","-0.687791447354637,1.4042139983294726","0.013540167926138021,0.04839157909053794","-0.3099344562475046,-0.25148138119682506"
0.04999999999999872,"-0.1708125515052782,1.1591156267224567","-0.10056667520238873,0.20582640078018488","-0.6714622507966856,1.3679621265164663","0.015422869924197849,0.05605877885989362","-0.30329834823844104,-0.247503415810278"
0.059999999999998506,"-0.1730858218881882,1.1637644539779788","-0.11366351914550095,0.2324413627760996","-0.6548421971556113,1.3307480997957368","0.01717027212407007,0.06362389632237303","-0.29654748891120625,-0.24362295963997865"
0.0699999999999983,"-0.17561429187538874,1.1689303795654493","-0.12642349936002725,0.2582962793735266","-0.6379990107263146,1.2927458298713506","0.01877362904071234,0.07109012858702789","-0.28969998176956124,-0.23983778837535175"
0.07999999999999809,"-0.17839116175140776,1.174597955839222","-0.13884349380095104,0.2833788136886447","-0.6209997220461897,1.2541267157559037","0.02022501928551411,0.07846015620263246","-0.28277403488021513,-0.23614594164916267"
0.08999999999999787,"-0.1814095955752549,1.1807515552060355","-0.1509216911923573,0.3076799683406624","-0.6039098695703127,1.2150577326008865","0.02151732723396715,0.08573615521008839","-0.27578776569496805,-0.23254567736458523"
0.09999999999999766,"-0.184662746517795,1.1873754344729326","-0.1626575471270036,0.33119396334485945","-0.5867927967323151,1.1756997502098505","0.02264422303722806,0.09291981361095553","-0.2687590212854444,-0.2290354281816867"
